# stage 09   label CDM   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.13750872 conv 0.02203907 dm 0.84045221
# matter shot noise 3.05072516e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
4.330295565235207533e+00 1.019100000000000000e+04 4.901687415207534593e-01 4.495573303907016793e+01 2.141637209568554745e+00 2.133387981464320404e+00 2.091992098044562542e+00 3.654161910185028450e+00
4.437284061691221027e+00 1.089700000000000000e+04 4.704067208036099568e-01 4.500347477312249822e+01 2.101958372497684024e+00 2.094918694865161690e+00 2.059929091634897347e+00 3.577328745437330593e+00
4.544410671757686870e+00 1.130100000000000000e+04 4.511205467428521798e-01 4.404562319559437356e+01 2.037672690720214508e+00 2.031575002149878184e+00 2.001568921509031096e+00 3.469153609244876701e+00
4.651950739451500283e+00 1.202500000000000000e+04 4.318494440445290183e-01 4.320673892791630522e+01 1.972331800239824684e+00 1.967337337637295791e+00 1.943233315319723875e+00 3.351500921188484305e+00
4.759389278045521365e+00 1.242300000000000000e+04 4.170049589826554937e-01 4.302129690187353361e+01 1.935989009483326084e+00 1.931795582663224264e+00 1.912014963142243618e+00 3.281560753003320396e+00
4.866368610315570109e+00 1.302100000000000000e+04 3.871327818480536642e-01 4.113296440519705754e+01 1.819127105517843956e+00 1.815853163634220779e+00 1.800926192163563533e+00 3.059526938734383528e+00
4.972791849647571816e+00 1.340500000000000000e+04 3.829462835766471729e-01 4.188490800382700030e+01 1.831759782865838071e+00 1.829346020944411455e+00 1.819074926938325731e+00 3.088549850767885019e+00
5.079323357706112319e+00 1.424700000000000000e+04 3.629874766986384560e-01 4.034017325257767794e+01 1.742218546825073933e+00 1.741004878345103979e+00 1.737143457657050361e+00 2.930509552802152751e+00
5.186466441086331258e+00 1.471300000000000000e+04 3.488779251134505044e-01 3.999730914966127671e+01 1.702553561595763876e+00 1.702030835923143304e+00 1.701881051697346159e+00 2.853907745453266198e+00
5.293547711166813663e+00 1.548900000000000000e+04 3.339413841113169634e-01 3.963111929745352313e+01 1.660735966134668118e+00 1.661233309791886992e+00 1.666623714388429711e+00 2.781776401207910254e+00
5.400616309572492391e+00 1.591300000000000000e+04 3.212239461795872164e-01 3.917588723405248885e+01 1.616272639228197416e+00 1.617920532920692267e+00 1.629523669946409736e+00 2.702118800547876454e+00
5.507906831765741806e+00 1.687900000000000000e+04 3.171368151022549986e-01 3.945476709524473335e+01 1.619312027598878601e+00 1.621452320762546861e+00 1.635805632469025772e+00 2.718903639954186158e+00
5.615131387668133911e+00 1.719300000000000000e+04 3.042025771125156930e-01 3.888481541597172253e+01 1.568782227499008641e+00 1.571957030805366751e+00 1.591920050464806780e+00 2.620617805320693883e+00
5.722402868387595376e+00 1.815700000000000000e+04 2.904554887094030757e-01 3.812793671375938231e+01 1.518682224595485408e+00 1.522478947028618634e+00 1.545913574376653665e+00 2.530940234927951504e+00
5.828849886830424154e+00 1.833900000000000000e+04 2.803236616633935641e-01 3.752864384218248972e+01 1.477154488676005073e+00 1.481820804534192959e+00 1.509964637220897465e+00 2.459595422839746526e+00
5.935729120148100613e+00 1.957300000000000000e+04 2.690630250030471293e-01 3.704368397949481562e+01 1.438737060907813836e+00 1.444139551999526150e+00 1.476364357459776455e+00 2.392473696564426433e+00
6.042873270617307391e+00 1.994100000000000000e+04 2.612375436483307389e-01 3.651790569512447604e+01 1.406217252201559909e+00 1.412255314384275096e+00 1.448016038628197943e+00 2.339963682661450939e+00
6.149288579584974990e+00 2.062900000000000000e+04 2.512024443742231217e-01 3.614826532202793885e+01 1.372423056111404804e+00 1.379243199495576944e+00 1.419329929522793465e+00 2.280415843046667224e+00
6.256290966960967204e+00 2.165500000000000000e+04 2.431113262826407051e-01 3.580160928713582535e+01 1.340298900566964768e+00 1.347736459973077450e+00 1.391339387570152297e+00 2.215882821322309848e+00
6.363345368387389733e+00 2.211300000000000000e+04 2.338434155280694760e-01 3.525530369828582877e+01 1.300336873119350534e+00 1.308543827648141367e+00 1.356459163440886684e+00 2.142085017661510271e+00
