# stage 09   label FCT   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.08192983 conv 0.07761797 dm 0.84045221
# matter shot noise 3.08092773e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
6.363345368387389733e+00 2.211300000000000000e+04 2.641740213928885916e-01 4.054671149662816276e+00 1.548413994708319974e+00 1.539521462813962405e+00 1.495013615275256225e+00 9.321481567760601106e-01
6.470613485461905512e+00 2.318500000000000000e+04 2.562068095400026335e-01 4.053354776732739140e+00 1.536445247574901973e+00 1.527919741610298088e+00 1.485317560934416914e+00 9.175703215505273125e-01
6.577676610618644837e+00 2.366700000000000000e+04 2.498280240790136941e-01 3.992793498733173685e+00 1.508369470052495664e+00 1.500250793364985569e+00 1.459812736868992822e+00 8.985769717642038135e-01
6.684253655545307815e+00 2.438500000000000000e+04 2.382426248479900532e-01 3.876608579260483189e+00 1.454755816603566787e+00 1.447281523701049899e+00 1.410213823088913632e+00 8.604562761479591648e-01
6.791722808518531274e+00 2.574900000000000000e+04 2.317191743752927691e-01 3.830758935196305615e+00 1.430849281255911043e+00 1.423756644856186249e+00 1.388748629692345249e+00 8.426557492112739522e-01
6.898654695560852979e+00 2.567500000000000000e+04 2.244464580748946059e-01 3.774546019077979153e+00 1.402326121882317977e+00 1.395688940939352918e+00 1.363073265409327384e+00 8.217331119410024032e-01
7.005645299680876015e+00 2.740900000000000000e+04 2.181058519567346810e-01 3.741618535785853794e+00 1.380840276041253034e+00 1.374794731999444686e+00 1.345303591727834869e+00 8.051114878394409757e-01
7.112728794843756752e+00 2.740500000000000000e+04 2.084134826488387160e-01 3.616649745670163174e+00 1.328518595062558649e+00 1.322975092543558828e+00 1.296147444279321714e+00 7.710386705273034602e-01
7.219282100968514193e+00 2.871700000000000000e+04 2.010315877155275655e-01 3.553344300058038030e+00 1.297750218853179982e+00 1.292636972654381378e+00 1.268102402753009450e+00 7.487904674464516130e-01
7.326582234147168471e+00 2.959500000000000000e+04 1.977340282317871234e-01 3.534781264654144994e+00 1.285229129733548303e+00 1.280549477732605190e+00 1.258330755888800612e+00 7.397663014792512648e-01
7.433725445245632280e+00 3.030100000000000000e+04 1.900409734046838439e-01 3.458069146270774663e+00 1.249935460774416862e+00 1.245705238344952059e+00 1.225879517556101250e+00 7.152140308895243992e-01
7.540365998292284822e+00 3.110100000000000000e+04 1.843691156062303993e-01 3.401210898257985171e+00 1.223475401830190767e+00 1.219597970620420746e+00 1.201685815392389722e+00 6.967176720967760417e-01
7.647007593854525886e+00 3.202300000000000000e+04 1.811783094788140258e-01 3.424056916315160404e+00 1.222843436061495925e+00 1.219504576691816666e+00 1.204454823281646769e+00 6.931219370689271075e-01
